欄位名稱,零值+NAN佔比 (%),空白值(NaN)數量,空白值(NaN)佔比 (%),零值數量,零值佔比 (%)
name,0.0,0,0.0,0,0.0
star,4.53,0,0.0,215,4.53
comment,4.53,0,0.0,215,4.53
class,0.0,0,0.0,0,0.0
address,0.0,0,0.0,0,0.0
latitude,0.0,0,0.0,0,0.0
longitude,0.0,0,0.0,0,0.0
school_counts,2.45,0,0.0,116,2.45
drink_counts,0.0,0,0.0,0,0.0
train_counts,83.99,0,0.0,3983,83.99
youbike_counts,10.31,0,0.0,489,10.31
bus_counts,1.29,0,0.0,61,1.29
park_counts,3.33,0,0.0,158,3.33
night_market_counts,54.24,0,0.0,2572,54.24
sports_facilities_counts,10.27,0,0.0,487,10.27
mrt_counts,29.63,0,0.0,1405,29.63
movie_theater_counts,60.23,0,0.0,2856,60.23
hospital_counts,48.5,0,0.0,2300,48.5
district,0.0,0,0.0,0,0.0
neighborhood,0.0,0,0.0,0,0.0
salary_income_median,0.0,0,0.0,0,0.0
people_flow_mean,0.0,0,0.0,0,0.0
knock_down_price_mean,1.16,0,0.0,55,1.16
brand,64.74,3070,64.74,0,0.0
Monday_open_hours,0.0,0,0.0,0,0.0
Tuesday_open_hours,0.08,0,0.0,4,0.08
wendesday_open_hours,0.65,0,0.0,31,0.65
Thursday_open_hours,0.97,0,0.0,46,0.97
Friday_open_hours,1.37,0,0.0,65,1.37
Saturday_open_hours,28.7,1361,28.7,0,0.0
Sunday_open_hours,43.19,2048,43.19,0,0.0
weekend_open,28.7,0,0.0,1361,28.7
road_area_ratio,0.0,0,0.0,0,0.0
age,0.0,0,0.0,0,0.0
weekday_working_hours_average,0.0,0,0.0,0,0.0
people_flow_average,0.0,0,0.0,0,0.0
popularity,4.53,0,0.0,215,4.53
